frame,shepherd,min_distance,max_distance,avg_distance,furthest_sheep_distance,dog_speed,min_speed,max_speed,avg_speed
171,dog,130.38404810405297,1193.2493452753286,642.1524440640634,1093.1098984091216,262.5267843478071,0.0,56.25,42.68532093574725
172,dog,139.9428454762872,1203.2958904608624,652.1410700831312,1092.1099990385585,255.02757203878957,0.0,71.34861596415168,44.9541385196518
173,dog,147.73286702694156,1214.3397382940243,662.0124740703295,1092.6099487008162,258.99444974748013,43.8926246651986,75.83905656058757,54.43243566604423
174,dog,161.47445618425226,1228.4498361756575,675.1147289148224,1090.6101503287048,282.1485645896502,39.15114940841457,64.73503688112025,51.59718568416631
175,dog,171.73234989366446,1241.563530392223,686.8550877823932,1095.6242512832582,275.0056817594865,48.75,68.43107846585497,55.84836269179116
176,dog,178.94133116750865,1246.5492368935934,693.6276171020467,1094.6169421308991,266.9093947391137,52.231456039440445,77.30823048033115,62.06784335416695
177,dog,182.0823989297153,1251.6105624354566,697.791906479553,1093.6321365066044,247.75554988738395,53.69182898728633,64.73503688112025,60.383425325122495
178,dog,187.77113729218345,1260.435638975668,704.8476714548233,1094.1480704182593,225.12496529705453,48.75,79.10633666148371,63.88560975718288
179,dog,197.9520143873257,1269.4112808699945,713.6582722109215,1092.6482736910357,225.12496529705453,49.323549142372144,73.67581014145688,62.31567128347401
180,dog,202.8324431643025,1278.24332581868,721.01583571054,1094.6563387657334,225.03124783016247,51.00551440775792,61.0455772353739,55.37504321101582
181,dog,212.19095173922943,1289.0073700332362,731.4884050644299,1094.6563387657334,236.72571153129945,54.60082416960389,64.18966038233884,60.18207093029898
182,dog,219.14607000811125,1296.988820306482,739.1989179568301,1094.1564102083394,210.0,52.63375817856825,82.58518329579465,63.25820087447227
183,dog,224.2074931843269,1303.0429770349097,744.5085578653076,1093.6564817162655,165.04260813499042,42.75657844121767,79.10633666148371,58.60307681427545
184,dog,,,,1300.5479614377934,0.0,42.75657844121767,158.21267332296742,78.24351601410545
185,dog,238.79907872519107,1318.2143224832598,758.3071624452947,1090.6655078437202,152.27955378185214,43.8926246651986,73.67581014145688,62.9831982694902
186,dog,244.826469157238,1326.1949328812866,765.4539276834379,1091.1568402388357,161.94617161266888,45.311422400979644,73.67581014145688,61.94526514398101
187,dog,251.240920233946,1333.1095228824977,771.9421074768337,1090.6655078437202,172.86645857424165,48.75,73.67581014145688,66.51168465447127
188,dog,,,,1328.259763751052,0.0,47.434164902525694,165.1703665915893,79.7806395828959
189,dog,260.5782032327339,1345.8149947150982,783.5401059913123,1088.6406661520596,158.6121448691745,47.434164902525694,86.57547285461396,69.03999876996734
190,dog,266.5576860643865,1352.6108087694702,789.8283171957454,1087.6407954835088,152.27955378185214,46.38493828819868,86.33148324916003,70.4564258195482
191,dog,273.82658746002005,1359.5359502418462,796.5078826287772,1086.649092393676,152.27955378185214,45.62071897723665,86.57547285461396,72.37541035083524
192,dog,277.02707448911923,1364.3474630752974,860.2074625505624,1086.1491610271585,141.2112778782205,42.75657844121767,83.26351241690445,68.60961830279038
193,dog,281.1494264621573,1369.4571917369306,864.4892663223249,1085.6662700848728,113.49559462816168,41.42010381445223,83.26351241690445,67.75429458169602
194,dog,286.02447447727263,1375.5064521840673,869.7049667992324,1085.17521626694,97.57208873443268,41.42010381445223,84.60385629508859,66.82180678586067
195,dog,294.0493155917898,1381.6171683936184,876.5085903297004,1083.184656464446,86.33148324916003,37.5,83.26351241690445,65.51688759035787
196,dog,,,,1291.1864698795446,0.0,65.49093448714868,86.57547285461396,76.38626717816278
197,dog,,,,1297.094638027619,0.0,64.73503688112025,90.07809112098236,77.682984974645
198,dog,,,,1302.5057581446615,0.0,67.91538853603063,90.07809112098236,79.32413287445672
199,dog,,,,1307.4196916063331,0.0,69.14658342969665,93.82497002397604,79.23620281838836
200,dog,,,,1312.8337670855362,0.0,69.14658342969665,94.0495215298834,80.6639952898585
201,dog,,,,1318.7832460264272,0.0,64.73503688112025,94.94241675879124,80.44744263411373
202,dog,,,,1322.169902092768,0.0,69.14658342969665,106.6609698999592,80.78007547899452
203,dog,319.7655391063896,1320.610843511441,781.8374830372237,1009.388428703242,57.36396952791883,67.91538853603063,98.146892462268,82.36149225833796
204,dog,323.0681042752441,1324.6659956381457,785.7193659330791,1009.8610052873612,30.0,72.13269023126755,98.146892462268,86.01530865210854
205,dog,,,,1332.7139603080625,0.0,10.606601717798211,98.146892462268,68.82921950123509
206,dog,329.15042154006125,1333.6480045349297,792.734342459768,1012.3601137935058,15.0,70.05578134601028,105.60095880246544,84.22668503711893
207,dog,,,,1340.0257460213218,0.0,5.303300858899107,101.87308280404594,67.67043876088039
208,dog,336.857536653108,1343.691184759355,801.4121456797153,1013.8730196627188,21.213203435596427,68.43107846585497,97.78803607803974,80.63122397247625
209,dog,,,,1348.2456193142257,0.0,0.0,97.78803607803974,59.85325255834312
210,dog,,,,1351.2395235486565,0.0,43.73213921133976,94.0495215298834,74.83928339895928
211,dog,457.3598145880331,1356.4206574658174,967.5743594795316,907.1688100899412,42.75657844121767,71.25,101.31942064579722,86.38163116680373
212,dog,350.1885206570884,1362.4099970273269,816.7474988099295,1018.3579920636946,37.5,67.6040864149498,101.52739778010664,81.76634582583472
213,dog,,,,1364.5878498652992,0.0,30.92329219213245,94.0495215298834,70.82329262531027
214,dog,358.36573496917924,1372.2186414708117,825.5125209896014,1018.8711891107728,38.60861302870126,0.0,105.2675163571365,65.87004742002597
215,dog,361.4747570716384,1376.2692323815131,829.093200618873,1019.8982792416116,30.92329219213245,0.0,97.57208873443268,62.91960634897909
216,dog,363.45563690772497,1378.265939505145,830.8343084498083,1020.398084082874,25.155764746872634,71.6436494045355,90.0,80.08072839850688
217,dog,365.5748897284933,1381.376849378909,833.7161711741176,1019.8982792416116,26.516504294495533,64.18966038233884,86.98060128557401,78.2154454062978
218,dog,,,,1383.0532346948903,0.0,38.242646351945886,86.33148324916003,65.43686569466598
219,dog,,,,1386.0781002526517,0.0,41.92627457812106,90.07809112098236,65.42169042281064
220,dog,,,,1391.598361597196,0.0,45.0,86.33148324916003,69.3286625290427
221,dog,,,,1395.999462750613,0.0,41.42010381445223,86.25,70.57456123871074
222,dog,,,,1398.5550579079825,0.0,41.42010381445223,90.0,68.38479041824235
223,dog,,,,1130.940427255123,0.0,67.6040864149498,79.10633666148371,73.28818262999079
224,dog,397.5487391503085,1144.7292256249948,684.7231849535159,744.971475964013,38.242646351945886,71.34861596415168,86.33148324916003,78.81003307110392
225,dog,403.49597271843993,1152.6421821189783,691.3282190637188,746.4884459923006,45.15597967047111,63.86019887222401,86.33148324916003,73.84676602851191
226,dog,408.324625757497,1157.6307701508283,696.2151842311314,747.5060200426482,64.73503688112025,67.91538853603063,86.33148324916003,74.05408677374042
227,dog,,,,1154.241092666519,0.0,63.86019887222401,90.0,76.39862268225713
228,dog,,,,1159.693925137146,0.0,67.6040864149498,110.3545422717162,82.97310698665308
229,dog,429.0419559903204,1179.516002434897,717.3685214786505,747.9874664725339,109.77960876228336,75.09369147937795,86.33148324916003,78.8396220693053
230,dog,,,,1173.0299442043242,0.0,71.34861596415168,111.05319671220636,87.08034927748848
231,dog,,,,1179.4511435409268,0.0,71.25,115.52191350562022,88.5073045018734
232,dog,,,,748.4871408381042,0.0,67.5,82.58518329579465,73.77839443193155
233,dog,,,,1195.355177342701,0.0,67.91538853603063,133.84926223181063,87.96581668299824
234,dog,,,,1201.811341267838,0.0,78.83923515610739,140.56248610493486,109.70086063052112
235,dog,,,,1209.327912520008,0.0,0.0,146.44218142324976,75.07146822565693
236,dog,,,,1220.3687967167955,0.0,0.0,82.5,55.3125
237,dog,,,,1228.852411805421,0.0,67.6040864149498,176.60867758974925,97.73752622215312
238,dog,,,,1238.2733946911724,0.0,0.0,187.8371967955229,68.60316741253422
239,dog,,,,749.9683326647865,0.0,71.25,90.07809112098236,81.30442480559233
240,dog,,,,751.4851961283069,0.0,75.09369147937795,86.57547285461396,80.2585003318252
241,dog,,,,641.1996568932332,0.0,78.75,93.75,86.25
242,dog,,,,642.211997707922,0.0,75.0,90.0,82.5
243,dog,,,,643.7115037033283,0.0,71.25,93.82497002397604,82.53748501198803
244,dog,,,,1289.567853972795,0.0,0.0,90.07809112098236,52.56072584531072
245,dog,,,,1299.1378872159798,0.0,0.0,86.57547285461396,51.35849095153799
246,dog,,,,1308.5100305309088,0.0,0.0,86.33148324916003,51.31185655470328
247,dog,,,,1317.968133150419,0.0,0.0,78.75,48.75
248,dog,,,,1327.953312432331,0.0,67.6040864149498,206.3863185872552,118.83013500073498
249,dog,,,,1337.3332606347603,0.0,67.5,208.4203984738538,119.5018605898828
250,dog,,,,1345.8477811402,0.0,71.25,195.57607215607948,117.6920240520265
251,dog,,,,1355.2576323341625,0.0,75.0,195.89936829913464,119.07695051609824
252,dog,,,,1363.721470828996,0.0,71.25,188.84517468021255,114.22678599200242
253,dog,,,,1372.7604488766422,0.0,71.25,183.78826132264268,112.51275377421425
254,dog,,,,1383.6965888517611,0.0,63.86019887222401,202.63884129159445,116.44641593090763
255,dog,,,,1392.7103072785812,0.0,63.75,198.78537421047855,115.04018583542442
256,dog,,,,1403.1975092623277,0.0,63.75,210.1338858918285,120.07178971366284
257,dog,,,,1412.6860939359458,0.0,63.75,213.7828922060884,121.36945502023411
258,dog,,,,1423.1736541968446,0.0,71.34861596415168,210.1338858918285,122.6046617017134
259,dog,,,,1431.1642987442078,0.0,71.25,202.53471924586165,120.03873416500724
260,dog,,,,1440.7015652105054,0.0,71.25,195.1441774688653,117.54805915628845
261,dog,,,,1449.6193465872343,0.0,67.5,191.3970023276227,115.0761618589276
262,dog,,,,1457.041265716246,0.0,67.5,177.2445344714471,107.86125654251816
263,dog,,,,1464.0110996846984,0.0,63.75,173.96120257114802,104.26829801684198
264,dog,,,,1474.0008480323204,0.0,63.86019887222401,177.680366107232,105.54475215294468
265,dog,,,,1483.4247537371082,0.0,63.86019887222401,176.88714622606133,106.76561932725733
266,dog,,,,1490.4399518263056,0.0,63.86019887222401,176.2898891031474,105.17471837792604
267,dog,,,,1499.4095504564457,0.0,63.86019887222401,183.75,110.29123709637616
268,dog,,,,1508.3796770044337,0.0,63.75,176.40950229508616,107.66656997466356
269,dog,,,,1515.8728508684362,0.0,67.6040864149498,161.25,103.81308990358148
270,dog,,,,1522.866540442727,0.0,63.75,161.29359875704927,102.54292735094798
271,dog,,,,657.6598664963524,0.0,63.75,82.5,73.125
272,dog,,,,1537.271039862522,0.0,63.75,147.01721837934494,94.00573945978164
273,dog,,,,1544.1661180067383,0.0,60.117073282055244,144.89759314771243,92.21943861143438
